Review,SET,sample_nr,DOI,author_year,title,authors,journal,year
Yang_2024,DEV,4,10.1111/ejn.14157,Taufique_2018,Illuminated night alters hippocampal gene expressions and induces depressive-like responses in diurnal corvids,"Taufique, S. K. T., Prabhat, A., Kumar, V.", European Journal of Neuroscience,2018
Yang_2024,DEV,5,10.1016/0006-8993(83)90089-6,Reiter_1983b,"Influence of light irradiance on hydroxyindole-O-methyltransferase activity, serotonin-N-acetyltranferase activity, and radioimmunoassayable melatonin levels in the pineal gland of the diurnally active Richardson's ground squirrel","Reiter, R. J., Hurlbut, E. C., Brainard, G. C., Steinlechner, S., Richardson, B. A.",Brain Research,1983
Yang_2024,DEV,6,10.1016/0016-6480(79)90031-5,Firth_1979,"Plasma melatonin in the scincid lizard, Trachydosaurus rugosus: diel rhythm, seasonality, and the effect of constant light and constant darkness","Firth, B. T., Kennaway, D. J., Rozenbilds, M. A.",General and Comparative Endocrinology,1979
Yang_2024,DEV,7,10.1111/j.1600-079X.1985.tb00717.x,Nürnberger_1985,Responsiveness of Pineal N-Acetyltransferase and Melatonin in the Cotton Rat Exposed to Either Artificial or Natural Light at Night,"Nürnberger, F., Joshi, B. N., Heinzeller, T., Milin, J., Reiter, R. J.",Journal of Pineal Research,1985
Yang_2024,DEV,8,10.1186/1742-9994-10-60,Dominoni_2013b,Urban-like night illumination reduces melatonin release in European blackbirds (Turdus merula): implications of city life for biological time-keeping of songbirds,"Dominoni, D. M., Goymann, W., Helm, B., Partecke, J.",Frontiers in Zoology,2013
Yang_2024,TEST,9,10.1016/j.neulet.2019.134639,Moaraf_2019,Artificial light at night affects brain plasticity and melatonin in birds,"Moaraf, S., Vistoropsky, Y., Pozner, T., Heiblum, R., Okuliarová, M., Zeman, M., Barnea, A.",Neuroscience Letters,2019
Yang_2024,TEST,10,10.1002/jez.2201,Kumar_2018,Bright light at night alters the perception of daylength in Indian weaver bird (Ploceus philippinus),"Kumar, J., Malik, S., Bhardwaj, S. K., Rani, S. ",Journal of Experimental Zoology A,2018
Yang_2024,TEST,11,10.1016/j.envpol.2020.114324,Kupprat_2020,Can skyglow reduce nocturnal melatonin concentrations in Eurasian perch,"Kupprat, F., Hölker, F., Kloas, W.",Environmental Pollution,2020
Yang_2024,TEST,12,10.1080/07420528.2021.1937200,Kumari_2021,"Differential response of diurnal and nocturnal mammals to prolonged altered light-dark cycle: a possible role of mood associated endocrine, inflammatory and antioxidant system","Kumari, R., Verma, V., Kronfeld-Schor, N., Singaravel, M. ",Chronobiology International,2021
Yang_2024,TEST,13,10.1016/0300-9629(86)90382-8,Underwood_1986,Light at night cannot suppress pineal melatonin levels in the lizard Anolis carolinensis,"Underwood, H.","Comparative Biochemistry and physiology. A, Comparative Physiology",1986
Yang_2024,TEST,14,10.1111/j.1600-079X.2006.00322.x,Firth_2006,"Persistence of a plasma melatonin rhythm in constant darkness and its inhibition by constant light in the sleepy lizard, Tiliqua rugosa","Firth, B. T., Belan, I., Kennaway, D. J.",Journal of Pineal Research,2006
Yang_2024,TEST,15,10.1016/j.physbeh.2014.12.032,Yadav_2015,Role of light wavelengths in synchronization of circadian physiology in songbirds,"Yadav, G., Malik, S., Rani, S., Kumar, V.",Physiology & Behavior,2015
Yang_2024,TEST,16,10.1007/bf01254936 ,Reiter_1982,"Studies on Pineal Melatonin Levels in a Diurnal 
Species, the Eastern Chipmunk (Tamias striatus): Effects 
of Light at Night, Propranolol Administration or 
Superior Cervical Ganglionectomy","Reiter, R. J., King, T. S., Richardson, B. A., Hurlbut, E. C.","Journal of 
Neural Transmisson",1982
Pollo_2024,DEV,1,10.1007/bf01237684,Arnqvist_1996,Assortative mating by size: a meta-analysis of mating patterns in water striders,"Arnqvist, G., Rowe, L., Krupa, J. J., Sih, A.",Evolutionary Ecology,1996
Pollo_2024,DEV,2,10.1080/08927014.2003.9522691,Parker_2003,Female mating preferences in red junglefowl: a meta-analysis,"Parker, T. H., Ligon, J. D.",Ethology Ecology & Evolution,2003
Pollo_2024,DEV,3,10.1007/s10682-004-7594-2,Bernasconi_2005,Fertilization competence and sperm size variation in sperm-heteromorphic insects,"Bernasconi, G., Hellriegel, B. ",Evolutionary Ecology,2005
Pollo_2024,DEV,4,10.1111/j.1557-9263.2009.00258.x,Yasukawa_2010,Male red-winged blackbirds with experimentally dulled epaulets experience no disadvantage in sexual selection,"Yasukawa, K., Enstrom, D. A., Parker, P. G., Jones, T. C.",Journal of Field Ornithology,2010
Pollo_2024,DEV,5,10.1111/j.1558-5646.2012.01654.x,Prokop_2012,Meta-analysis suggests choosy females get sexy sons more than ìgood genesî,"Prokop, Z. M., Michalczyk, Ł., Drobniak, S. M., Herdegen, M., Radwan, J.",Evolution,2012
Pollo_2024,DEV,6,10.1371/journal.pbio.3001916,Fromonteil_2023,Sexual selection in females and the evolution of polyandry,"Fromonteil, S., Marie-Orleach, L., Winkler, L., Janicke, T.",PLoS Biology,2023
Pollo_2024,DEV,7,10.1111/j.1469-185x.2010.00145.x,South_2011,The influence of male ejaculate quantity on female fitness: a meta-analysis,"South, A., Lewis, S. M.",Biological Reviews of the Cambridge Philosophical Society,2011
Pollo_2024,DEV,8,10.1093/plankt/fbz075,Powers_2020,The relative importance of various mating criteria in copepods,"Powers,  M. J., Wilson, A. E., Heine, K. B., Hil, G. E.",Journal of Plankton Research,2020
Pollo_2024,TEST,9,10.1086/670160,Jiang_2013,Assortative mating in animals,"Jiang, Y., Bolnick, D. I., Kirkpatrick, M. ",The American Naturalist,2013
Pollo_2024,TEST,10,10.1126/sciadv.1500983,Janicke_2016,Darwinian sex roles confirmed across the animal kingdom,"Janicke, T., Häderer, I. K., Lajeunesse, M. J., Anthes, N. ",Science Advances,2016
Pollo_2024,TEST,11,10.1007/s00265-004-0857-7,Torres-Vila_2005,Male mating history and female fecundity in the lepidoptera: do male virgins make better partners?,"Torres-Vila, L. M., Jennions, M. D. ",Behavioral Ecology and Sociobiology,2005
Pollo_2024,TEST,12,10.1111/2041-210x.12707,Anthes_2017,Measuring and interpreting sexual selection metrics: evaluation and guidelines,"Anthes, N., Häderer, I. K., Michiels, N. K., Janicke, T.",Methods in Ecology and Evolution,2017
Pollo_2024,TEST,13,10.3389/fevo.2019.00390,Jones_2019,Mechanisms of social influence: a meta-analysis of the effects of social information on female mate choice decisions,"Jones, B. C., DuVal, E. H. ",Frontiers in Ecology and Evolution,2019
Pollo_2024,TEST,14,10.1098/rsbl.2021.0671,Culina_2022,No evidence of immediate fitness benefits of within-season divorce in monogamous birds,"Culina, A., Brouwer, L.",Biology Letters,2022
Pollo_2024,TEST,15,10.1093/beheco/9.6.546,Thornhill_1998,The relative importance of size and asymmetry in sexual selection,"Thornhill , R., Møller, A. P.",Behavioral Ecology,1998
Pollo_2024,TEST,16,10.1007/s00265-016-2082-6,Dougherty_2016,Variation in pre- and post-copulatory sexual selection on male genital size in two species of lygaeid bug,"Dougherty, L. R., Shuker, D. M. ",Behavioral Ecology and Sociobiology,2016
Ricolfi_2024,DEV,1,10.1093/toxsci/kft204,Wambaugh_2013,Dosimetric Anchoring of In Vivo and In Vitro Studies for Perfluorooctanoate and Perfluorooctanesulfonate,"Wambaugh, J. F., Setzer, R. W., Pitruzzello, A. M., Liu, J., Reif, D. M., Kleinstreuer, N. C., Wang, N. C., Sipes, N., Martin, M., Das, K., DeWitt, J. C., Strynar, M., Judson, R., Houck, K. A., & Lau, C. ",Toxicological sciences,2013
Ricolfi_2024,DEV,2,10.1186/s13148-015-0055-7,Ruiz-Hernandez_2015,Environmental chemicals and DNA methylation in adults: a systematic review of the epidemiologic evidence,"Ruiz-Hernandez, A., Kuo, C. C., Rentero-Garrido, P., Tang, W. Y., Redon, J., Ordovas, J. M., Navas-Acien, A., Tellez-Plaza, M.",Clinical epigenetics,2015
Ricolfi_2024,DEV,3,10.1289/EHP10092,Costello_2022,Exposure to per- and Polyfluoroalkyl Substances and Markers of Liver Injury: A Systematic Review and Meta-Analysis,"Costello, E., Rock, S., Stratakis, N., Eckel, S. P., Walker, D. I., Valvi, D., Cserbik, D., Jenkins, T., Xanthakos, S. A., Kohli, R., Sisley, S., Vasiliou, V., La Merrill, M. A., Rosen, H., Conti, D. V., McConnell, R., Chatzi, L.",Environmental Health Perspectives,2022
Ricolfi_2024,DEV,4,10.1016/j.earlhumdev.2021.105342,Kam_2021,"Modern, exogenous exposures associated with altered mammary gland development: A systematic review","Kam, R. L., Bernhardt, S. M., Ingman, W. V., Amir, L. H.",Early Human Development,2021
Ricolfi_2024,DEV,5,10.1016/j.yrtph.2019.01.019,Luz_2019,"Perfluorohexanoic acid toxicity, part I: Development of a chronic human health toxicity value for use in risk assessment","Luz, A. L., Anderson, J. K., Goodrum, P., Durda, J.",Regulatory Toxicology and Pharmacology,2019
Ricolfi_2024,DEV,6,10.1016/j.envint.2020.106125,Steenland_2020,Review: Evolution of evidence on PFOA and health following the assessments of the C8 Science Panel,"Steenland, K., Fletcher, T., Stein, C. R., Bartell, S. M., Darrow, L., Lopez-Espinosa, M. J., Barry Ryan, P., Savitz, D. A.",Environment International,2020
Ricolfi_2024,DEV,7,10.1007/s11434-008-0122-y,Wang_2008,The research of human exposure to polybrominated diphenyl ethers and perfluoroocatane sulfonate,"Wang, Y., Jiang, G.",Chinese Science Bulletin,2008
Ricolfi_2024,DEV,8,10.1186/s13750-017-0114-y,Land_2018,What is the effect of phasing out long-chain per- and polyfluoroalkyl substances on the concentrations of perfluoroalkyl acids and their precursors in the environment? A systematic review,"Land, M., de Wit, C.A., Bignert, A., Cousins, I. T., Herzke, D., Johansson, J. H., Martin, J. W.",Environmental Evidence,2018
Ricolfi_2024,TEST,9,10.1016/j.scitotenv.2021.146984,Deji_2021,Association between maternal exposure to perfluoroalkyl and polyfluoroalkyl substances and risks of adverse pregnancy outcomes: A systematic review and meta-analysis,"Deji, Z., Liu, P., Wang, X., Zhang, X., Luo, Y., Huang, Z.",Science of the Total Environment,2021
Ricolfi_2024,TEST,10,10.1080/10937404.2013.775048,Ferguson_2013,Environmental contaminant exposures and preterm birth: a comprehensive review,"Ferguson, K. K., O'Neill, M. S., Meeker, J. D. ",Journal of Toxicology and Environmental Health,2013
Ricolfi_2024,TEST,11,10.3389/fendo.2021.683297,Lee_2021,"Early-Life Exposure to Per- and Poly-Fluorinated Alkyl Substances and Growth, Adiposity, and Puberty in Children: A Systematic Review","Lee, Y. J., Jung, H. W., Kim, H. Y., Choi, Y. J., Lee, Y. A.",Frontiers in endocrinology,2021
Ricolfi_2024,TEST,12,10.1016/j.envint.2022.107149,DeLuca_2022,Human exposure pathways to poly- and perfluoroalkyl substances (PFAS) from indoor media: A systematic review ,"DeLuca, N. M., Minucci, J. M., Mullikin, A., Slover, R., Cohen Hubal, E. A.",Environment International,2022
Ricolfi_2024,TEST,13,10.1016/j.scitotenv.2022.157774,Souza_2022,Legacy and emerging pollutants in Latin America: A critical review of occurrence and levels in environmental and food samples,"Souza, M. C. O., Rocha, B. A., Adeyemi, J. A., Nadal, M., Domingo, J. L., Barbosa, F., Jr",Science of The Total Environment,2022
Ricolfi_2024,TEST,14,10.1021/acs.est.5b05583,Meng_2016,Organic contaminants in Chinese sewage sludge: a meta-analysis of the literature of the past 30 years,"Meng, X. Z., Venkatesan, A. K., Ni, Y. L., Steele, J. C., Wu, L. L., Bignert, A., Bergman, Å., Halden, R. U.",Environmental science & technology,2016
Ricolfi_2024,TEST,15,10.1016/j.scitotenv.2022.158036,Ho_2022,Perfluoroalkyl substances and lipid concentrations in the blood: A systematic review of epidemiological studies,"Ho, S. H., Soh, S. X. H., Wang, M. X., Ong, J., Seah, A., Wong, Y., Fang, Z., Sim, S., Lim, J. T.",Science of The Total Environment,2022
Ricolfi_2024,TEST,16,10.3390/ijerph19052849,Moore_2022,The Association between ADHD and Environmental Chemicals - A Scoping Review,"Moore, S., Paalanen, L., Melymuk, L., Katsonouri, A., Kolossa-Gehring, M., Tolonen, H.",International journal of environmental research and public health,2022
Morrison_2024,DEV,1,10.1016/j.chemosphere.2022.136431,horzmann_2022,Anxiety-related behavior and associated brain transcriptome and epigenome alterations in adult female zebrafish exposed to atrazine during embryogenesis,"Horzmann, K. A., Lin, L. F., Taslakjian, B., Yuan, C., Freeman, J. L.",Chemosphere,2022
Morrison_2024,DEV,2,10.3389/fphar.2022.841826,zaluski_2022,"Atrazine and Diuron Effects on Survival, Embryo Development, and Behavior in Larvae and Adult Zebrafish","Zaluski, A. B., Wiprich, M. T., de Almeida, L. F., de Azevedo, A. P., Bonan, C. D., Vianna, M. R. M.",Frontiers in Pharmacology,2022
Morrison_2024,DEV,3,10.1016/0045-6535(96)00305-0,lorenz_1996,Humic material changes effects of terbutylazine on behavior of zebrafish (Brachydanio rerio),"Lorenz, R., Brüggemann, R., Steinberg, C. E. W., Spieser, O. H.",Chemosphere,1996
Morrison_2024,DEV,4,10.1080/00207454.2018.1538141,unal_2019,Rotenone impairs oxidant/antioxidant balance both in brain and intestines in zebrafish.,"Ünal, İ., Üstündağ, Ü. V., Ateş, P. S., Eğilmezer, G., Alturfan, A. A., Yiğitbaşı, T., Emekli-Alturfan, E.",The International Journal of Neuroscience,2019
Morrison_2024,DEV,5,10.1007/s11356-021-13370-2,ren_2021,Synthetic organic chemicals (flame retardants and pesticides) with neurotoxic potential induced behavioral impairment on zebrafish (Danio rerio): a non-invasive approach for neurotoxicology,"Ren, Z., Poopal, R. K., Ramesh, M. ",Environmental Science and Pollution Research,2021
Morrison_2024,DEV,6,10.3390/ijms222312714,paduraru_2021,Vitamin C Mitigates Oxidative Stress and Behavioral Impairments Induced by Deltamethrin and Lead Toxicity in Zebrafish,"Paduraru, E., Flocea, E. I., Lazado, C. C., Simionov, I. A., Nicoara, M., Ciobica, A., Faggio, C., Jijie, R.",International Journal of Molecular Sciences,2021
Morrison_2024,DEV,7,10.3390/ijerph17134632,hussain_2020,Waterborne Exposure of Paclobutrazol at Environmental Relevant Concentration Induce Locomotion Hyperactivity in Larvae and Anxiolytic Exploratory Behavior in Adult Zebrafish,"Hussain, A., Audira, G., Siregar, P., Lin, Y. C., Villalobos, O., Villaflores, O., Wang, W. D., Hsiao, C. D. ",International Journal of Environmental Research and Public Health,2020
Morrison_2024,DEV,8,NA,khotimah_2015,"Zebrafish Parkinson's model: Rotenone decrease motility, dopamine, and increase alpha-synuclein aggregation and apoptosis of zebrafish brain","Khotimah, H., Sumitro, S. B., Widodo, M.A.",Pharmatech,2015
Morrison_2024,TEST,9,10.1016/j.pnpbp.2018.12.012,zuniga_2019,Behavioral effects of triadimefon in zebrafish are associated with alterations of the dopaminergic and serotonergic pathways,"Paredes-Zúñiga, S., Trost, N., De la Paz, J. F., Alcayaga, J., Allende, M. L. ",Progress in Neuro-Psychopharmacology & Biological Psychiatry,2019
Morrison_2024,TEST,10,10.1016/j.chemosphere.2020.126635,liu_2020,Carbofuran induces increased anxiety-like behaviors in female zebrafish (Danio rerio) through disturbing dopaminergic/norepinephrinergic system,"Liu, S., Yu, M., Xie, X., Ru, Y., Ru, S.",Chemosphere,2020
Morrison_2024,TEST,11,10.1007/s10565-020-09548-y,horzmann_2022,"Embryonic atrazine exposure and later in life behavioral and brain transcriptomic, epigenetic, and pathological alterations in adult male zebrafish","Horzmann, K. A., Lin, L. F., Taslakjian, B., Yuan, C., Freeman, J. L. ",Cell Biology and Toxicology,2021
Morrison_2024,TEST,12,10.1016/j.ntt.2015.04.006,crosby_2015,Neurobehavioral impairments caused by developmental imidacloprid exposure in zebrafish,"Crosby, E. B., Bailey, J. M., Oliveri, A. N., Levin, E. D.",Neurotoxicology and Teratology,2015
Morrison_2024,TEST,13,10.1016/j.ntt.2018.05.003,nema_2018,Quantitative assessment of cypermethrin induced behavioural and biochemical anomalies in adult zebrafish,"Nema, S., Bhargava, Y.",Neurotoxicology and Teratology,2018
Morrison_2024,TEST,14,10.1016/j.ntt.2021.107011,boyda_2021,The organophosphate insecticide diazinon and aging: Neurobehavioral and mitochondrial effects in zebrafish exposed as embryos or during aging,"Boyda, J., Hawkey, A. B., Holloway, Z. R., Trevisan, R., Di Giulio, R. T., Levin, E. D. ",Neurotoxicology and Teratology,2021
Morrison_2024,TEST,15,10.1016/j.ecoenv.2020.111014,tu_2020,"Tributyltin enhanced anxiety of adult male zebrafish through elevating cortisol level and disruption in serotonin, dopamine and gamma-aminobutyric acid neurotransmitter pathways","Tu, X., Li, Y. W., Chen, Q. L., Shen, Y. J., Liu, Z. H.",Ecotoxicology and Environmental Safety,2020
Morrison_2024,TEST,16,10.1016/j.ntt.2009.02.005,eddins_2010,Zebrafish provide a sensitive model of persisting neurobehavioral effects of developmental chlorpyrifos exposure: Comparison with nicotine and pilocarpine effects and relationship to dopamine deficits,"Eddins, D., Cerutti, D., Williams, P., Linney, E., Levin, E. D. ",Neurotoxicology and Teratology,2010
Mizuno_2024,DEV,1,https://theses.gla.ac.uk/id/eprint/3541,deWert_2012,Anti-predator adaptations and strategies in the Lepidoptera,"de Wert, L.","PhD thesis, University of Glasgow",2012
Mizuno_2024,DEV,2,10.1016/j.applanim.2009.02.015,Brilot_2009,Can we use starlings' aversion to eyespots as the basis for a novel 'cognitive bias' task?,"Brilot, B. O., Normandale, C. L.,  Parkin, A., Bateson, M.",Applied Animal Behaviour Science,2009
Mizuno_2024,DEV,3,10.1016/j.anbehav.2012.04.027,Hossie_2013,Defensive posture and eyespots deter avian predators from attacking caterpillar models,"Hossie, T. J., Sherratt, T. N.",Animal Behaviour,2013
Mizuno_2024,DEV,4,10.1098/rspb.2003.2 571,Lyytinen_2004,Does predation maintain eyespot plasticity in Bicyclus anynana?,"Lyytinen, A., Brakefield, P. M., Lindström, L., Mappes, J.","Proceedings of the Royal Society B 
Biological Sciences",2004
Mizuno_2024,DEV,5,10.1093/beheco/ars167,Olofsson&Lovlie_2013,Eyespot display in the peacock butterfly triggers antipredator behaviors in naïve adult fowl,"Olofsson, M., Lovlie, H., Tibblin, J., Jakobsson, S., Wiklund, C.",Behavioral Ecology,2013
Mizuno_2024,DEV,6,10.1093/beheco/arv135,Skelhorn_2016,Multicomponent deceptive signals reduce the speed at which predators learn that prey are profitable,"Skelhorn, J., Holmes,  G. G., Hossie, T .J., Sherratt, T. N.",Behavioral Ecology,2016
Mizuno_2024,DEV,7,10.1098/rspb.2015.0202,DeBona_2015,"Predator mimicry, not conspicuousness, explains the efficacy of butterfly eyespots","De Bona, S., Valkonen, J. K., López-Sepulcre, A., Mappes, J.","Proceedings of the Royal Society B 
Biological Sciences",2015
