Review,SET,Date,Person,Variable_nr,Iteration,Column_name,Instructions,Answer_structure,Notes,N_correct,N_incorrect,Censor
Samarsinghe_2019,DEV,7-Apr-25,ML,3,GOLD STANDARD,"Number of included
primary studies",Number of original studies reviewed. Code as a total number of studies included in the systematic review or meta-analysis,"Number, Not mentioned",,,,0
Samarsinghe_2019,DEV,7-Apr-25,ML,3,1,"Number of included
primary studies",Number of original studies reviewed. Code as a total number of studies included in the systematic review or meta-analysis,"Number, Not mentioned",Agreement: 8/8. Note: FINISHED (100%),8,0,0
Samarsinghe_2019,DEV,7-Apr-25,ML,4,GOLD STANDARD,Synthesis method,How the evidence was combined,"Predefined list (select one answer):
Qualitative, quantitative,
map, qualitative +
quantitative",,,,0
Samarsinghe_2019,DEV,7-Apr-25,ML,4,1,Synthesis method,How the evidence was combined,"Predefined list (select one answer):
Qualitative, quantitative,
map, qualitative +
quantitative",Agreement: 4/8. Note: ,4,4,0
Samarsinghe_2019,DEV,7-Apr-25,ML,4,2,Synthesis method,"How the evidence was combined.
Select one answer from the predefined list: ""qualitative"", ""quantitative"", ""map"", ""qualitative + quantitative"". Code as ""qualitative"" if no statistical synthesis of results of individual studies has been conducted in the review and only a narrative summary of the results of included studies has been provided. Code as ""quantitative"" if statistical synthesis of results of individual studies has been conducted in the review and no narrative summary has been provided of the results of included studies. Code as ""map"" if the scopes of included studies were mainly summarised as in graphs and/or tables, without statistical synthesis of the results of individual studies and no narrative summary of their results has been provided.  Code as ""qualitative + quantitative"" if both statistical synthesis of results of individual studies has been conducted in the review and a narrative summary of the results of included studies has been provided.","Predefined list (select one answer):
Qualitative, quantitative,
map, qualitative +
quantitative","Agreement: 6/8. Note: given that more than one answer gets selected, ""qualitative, quantitative"" can be considered equivalent to ""qualitative + quantitative"" ",6,2,0
Samarsinghe_2019,DEV,7-Apr-25,ML,4,3,Synthesis method,"How the evidence was combined. By “evidence” we mean result of individual primary studies. The approach to summarise  evidence can be qualitative, quantitative or both. Quantitative analysis  is an approach that uses  mathematical and statistical analysis to  estimate values  across  included studies, for example, mean effect size or correlation. For systematic reviews most commonly used quantitative approach is meta-analysis. Qualitative analysis is equivalent to narrative review, which is a summary of the contents or results of individual primary studies without using statistical models to summarise evidence. Code as ""qualitative"" if no statistical synthesis of results of individual studies has been conducted in the review and only a narrative summary of the results of included studies has been provided. Code as ""quantitative"" if statistical synthesis of results of individual studies has been conducted in the review and no narrative summary has been provided of the results of included studies. Code as ""map"" if the scopes of included studies were mainly summarised as in graphs and/or tables, without statistical synthesis of the results of individual studies and no narrative summary of their results has been provided.  Code as ""qualitative + quantitative"" if both statistical synthesis of results of individual studies has been conducted in the review and a narrative summary of the results of included studies has been provided.","Predefined list (select one answer):
Qualitative, quantitative,
map, qualitative +
quantitative",Agreement: 4/8. Note: added definitions of the terms used.,4,4,0
Samarsinghe_2019,DEV,7-Apr-25,ML,4,4,Synthesis method,"How the evidence was combined. By “evidence” we mean result of individual primary studies. The approach to summarise  evidence can be quantitative, qualitative or combination of quantitative and qualitative. Maps visually summarise information about studies but not their results.  Select ""qualitative"" answer if no statistical synthesis of results of individual studies has been conducted in the review and only a narrative summary of the results of included studies has been provided. Providing some numbers from primary studies or counting them does not qualify as quantitative analysis. Select ""quantitative"" answer if statistical synthesis of results of individual studies has been conducted in the review (usually a meta-analysis or eta-regression) and  no extensive narrative summary has been provided of the results of included studies. Select ""map"" answer if the scopes of included studies were mainly summarised as in graphs and/or tables, without statistical synthesis of the results of individual studies (usually a review will state it is a map).  Select ""qualitative + quantitative"" answer if both statistical synthesis of results of individual studies has been conducted in the review and a narrative summary of the results of included studies has been.","Predefined list (select one answer):
Qualitative, quantitative,
map, qualitative +
quantitative",Agreement: 8/8. Note: FINISHED (100%),8,0,0
Samarsinghe_2019,DEV,7-Apr-25,ML,5,GOLD STANDARD,Search sources,Online databases and other source used in searches,"Names,
No search sources found",,,,0
Samarsinghe_2019,DEV,7-Apr-25,ML,5,1,Search sources,"Online databases and other source used in searches. Code as a list of names of sources, or as ""No search sources found"" if the names of search sources cannot be found in the review.",,"Agreement: 8/8. Note: finds more souces, includes minor ones and grey literature, propagates author mistakes (PsycINFO not PsychINFO), but cannot distinguish alternative names (WoS/WoK). Fix inconsistent list formatting",8,0,0
Samarsinghe_2019,DEV,7-Apr-25,ML,5,2,Search sources,"Online databases and other source used in searches. Code as a list of names of sources separated by commas if sources are listed in the review. Ignore sources of grey literature. Code Web of Knowledge as Web of Science (correct alternative name). Code as ""No search sources found"", without additional comments, if the names of search sources cannot be found in the review. ",,"Agreement: 8/8. Note: finds more souces, includes minor ones and grey literature, propagates author mistakes (PsycINFO not PsychINFO), but cannot distinguish alternative names (WoS/WoK). Still inconsistent font formatting. FINISHED (100%)",8,0,0
Samarsinghe_2019,DEV,8-Apr-25,ML,6,GOLD STANDARD,PRISMA diagram,"Whether a PRISMA diagram
is presented","Predefined list (select one
answer): Yes, No",Note: Mackenbach_2014 in a separate suppl file; Hunter_2015 ina an appendinx that is within the main file,,,0
Samarsinghe_2019,DEV,8-Apr-25,ML,6,1,PRISMA diagram,"Whether a PRISMA diagram is presented. Select one answer only:
Yes,
No","yes, no",Agreement: 8/8. Note:  improve instructions to make them more clear to human coders!,8,0,0
Samarsinghe_2019,DEV,8-Apr-25,ML,6,2,PRISMA diagram,"Whether a PRISMA-like diagram is presented. PRISMA-like diagrams (PRISMA diagrams)  illustrate the process of searching  and screening of literatiure (usually primary studies, articles, etc.). PRISMA-like diagrams  are also called flow diagrams  of the searching screening process.  Select one answer only: Yes, No.","yes, no",Agreement: 8/8. Note: FINISHED,8,0,0
Samarsinghe_2019,DEV,8-Apr-25,ML,7,GOLD STANDARD,Conflict of interests,Was the conflict of interests disclosed by the authors,"Predefined list (select one
answer): Yes, Not declared specifically",Note: ,,,0
Samarsinghe_2019,DEV,8-Apr-25,ML,7,1,Conflict of interests,"Was the conflict of interests disclosed by the authors. Predefined list (select one answer): yes, not declared specifically","yes, not declared specifically",Agreement: 8/8. Note:  improve instructions to make them more clear to human coders!,8,0,0
Samarsinghe_2019,DEV,8-Apr-25,ML,7,2,Conflict of interests,"Was the conflict of interests disclosed by the authors. Code as yes if an article contains a ""Conflicts of Interest"" statement or section. Code as ""yes"" if the authors declare no conflict of interest. Predefined list (select one answer): yes, not declared specifically","yes, not declared specifically",Agreement: 7/8. Note: refine again.,7,1,0
Samarsinghe_2019,DEV,8-Apr-25,ML,7,3,Conflict of interests,"Was the conflict of interests disclosed by the authors. Code as yes if an article contains a ""Conflicts of Interest"" statement or section. Code as ""yes"" if the authors declare no conflict of interest.  Code as ""not declared specifically"" if no financial disclosures were reported by the authors of this paper except grant or research funding from granting agencies. Predefined list (select one answer): yes, not declared specifically","yes, not declared specifically","Agreement: 7/8. Note: ""yes"" justified as ""No relevant quotes found in the document."" - refine again.",7,1,0
Samarsinghe_2019,DEV,8-Apr-25,ML,7,4,Conflict of interests," Was the conflict of interests disclosed by the authors. Code as yes if an article contains a ""Conflicts of Interest"" statement or section. Code as ""yes"" if the authors declare no conflict of interest.  Code as ""not declared specifically"" if no financial disclosures were reported by the authors of this paper except grant or research funding from granting agencies. Code as ""not declared specifically"" if ""No relevant quotes can be found in the document. Predefined list (select one answer): yes, not declared specifically","yes, not declared specifically",Agreement: 5/8. Note: go back to Iteration 1,5,3,0
Samarsinghe_2019,DEV,8-Apr-25,ML,7,5,Conflict of interests,"Was the conflict of interests disclosed by the authors. Predefined list (select one answer): yes, not declared specifically","yes, not declared specifically",Agreement: 8/8. Note: FINISHED,8,0,0
Samarsinghe_2019,DEV,8-Apr-25,ML,8,GOLD STANDARD,Funding sources,Organisations and bodies that funded the study are listed.,"Predefined list (select one
answer): Yes, No funding sources
recorded",Note: for Hunter_2015 the pdf does not include Acknowledgements sections which is available online (wrong pdf harvested by Zotero?),,,0
Samarsinghe_2019,DEV,8-Apr-25,ML,8,1,Funding sources,Organisations and bodies that funded the study are listed.," yes, no funding sources recorded",Agreement: 1/8. Note: ,1,7,0
Samarsinghe_2019,DEV,8-Apr-25,ML,8,2,Funding sources,"The article mentions organisations that funded or supported the study or the authors of the study. This may be a list of grants or institutions, usually in the Acknowledgements or dedicated Funding section. Select one answer only.","yes, no",Agreement: 4/8. Note: ,4,4,0
Samarsinghe_2019,DEV,8-Apr-25,ML,8,3,Funding sources,"The article acknowledges organisations that funded or supported the work presented in the article. Select ""yes"" answer, if the article mentions research grants or institutions supporting the authors (which could be just shown as the initials of the authors and grant numbers/codes), usually in an Acknowledgements sections or in a dedicated Funding section. Select one answer only.","yes, no",Agreement: 3/8. Note: add examples,3,5,0
Samarsinghe_2019,DEV,8-Apr-25,ML,8,4,Funding sources,"Whether there is a mention of any funding or support from external organisations. Select ""yes"" answer if the article mentions research grants or institutions supporting the authors (which could be just shown as the initials of the authors and grant numbers/codes), usually in an Acknowledgements sections or in a dedicated Funding section (for example, ""Financial support was provided through grant"","" Research related to this article was funded by…"", ""is funded by… "", ""is supported by the …""). Select one answer only.","yes, no","Agreement: 6 /8. Note: rephrase, add details",6,2,0
Samarsinghe_2019,DEV,8-Apr-25,ML,8,5,Funding sources,"Whether there is any indication that the research was funded or supported by an external organization, institution, grant, or sponsor. Code as a ""yes"" answer any explicit or implicit mention of external funding, support, or acknowledgment of resources or assistance that enabled the research to be conducted, for example acknowledgments of: financial support (e.g., grants, fellowships, awards, institutional funds), Research funding agencies (e.g., national science foundations, health research councils, private foundations), Government funding (e.g., ministries, departments, public research funding programs), Industry or corporate sponsorship, Non-profit organization support.
Code as a ""yes"" answer any common phrases and variations that may indicate funding or support, for example: ""This work was supported by..."", ""Financial support was provided through..."", ""This project was funded by..."", ""Research related to this article was funded by..."", ""This research is part of a project supported by..."", ""The authors received funding from..."", ""Supported by the [Name of Organization/Agency]"", ""Funding was received from..."", ""This work was carried out under the funding provided by..."", ""[Author] was supported by..."", ""The study was made possible by funding from..."". Code as a ""yes"" answer any mentions of grant numbers, project IDs, or funding references. Code as a ""yes"" answer any acknowledgments of research programs or consortia noted to be externally funded. 
Code as a ""yes"" answer any mentions that researchers were affiliated with funded programs or centers during the work. Funding acknowledgments may appear in dedicated sections (e.g., Acknowledgments or Funding), in author affiliations or footnotes, or even in the main text or footnotes of the article.","yes, no",Agreement: 3/8. Note: REPLACE VARIABLE,3,5,0
Samarsinghe_2019,DEV,8-Apr-25,ML,9,GOLD STANDARD,Supplementary materials,"Whether the article contains mentions of online supplementary materials (additional details of methods, data, code, etc.). Supplementary materials can be either appended at the end or stored in separate files or accessible online links.","Predefined list (select one
answer): Yes, No",,,,0
Samarsinghe_2019,DEV,8-Apr-25,ML,9,1,Supplementary materials,"Whether the article contains mentions of online supplementary materials (additional details of methods, data, code, etc.). Supplementary materials can be either appended at the end or stored in separate files or accessible online links."," yes, no",Agreement: 7/8. Note: in Hunter_2015 supplementary material called is Appendix,7,1,0
Samarsinghe_2019,DEV,8-Apr-25,ML,9,2,Supplementary materials,"Whether the article contains mentions of online supplementary materials (additional details of methods, data, code, etc.). Supplementary materials can be either appended at the end or stored in separate files or accessible online links. Supplementary materials are sometimes cal;led Supporting Material or Appendix or Additional File.","yes, no",Agreement: 8/8. Note: FINISHED,8,0,0
Samarsinghe_2019,DEV,8-Apr-25,ML,10,GOLD STANDARD,Data shared,"Whether the raw data used for analyses presented in the article has been shared either in supplementary materials, or as a link to an external file repository. If data is available on
request, it will be coded as “No”","Predefined list (select one answer): Yes, No",Note: one study only shares partial data (assessments) and another has all data in the main text as a table,,,0
Samarsinghe_2019,DEV,8-Apr-25,ML,10,1,Data shared,"Whether the raw data used for analyses presented in the article has been shared either in supplementary materials, or as a link to an external file repository. If data is available on request, it should be coded as “No”","yes, no",Agreement: 5/8. Note:  it is hard to distinguish raw and partial data unless ther eis an explicit statement that all data is shared at a specified location.,5,3,0
Samarsinghe_2019,DEV,8-Apr-25,ML,10,2,Data shared,"Whether the raw data used for analyses presented in the article has been shared either in supplementary materials, appendix, or as a link to an external file repository. Select ""yes"" answer If there any mention of collected data available in a table at other places, such as files or online. Note that sometimes all data is within main text as a table, sometimes it os partial or just summary data (not raw collected data). If data is available on request, it should be coded as “No”","yes, no",Agreement: 5/8. Note:  it is hard to distinguish raw and partial data unless ther eis an explicit statement that all data is shared at a specified location.,5,3,0
Samarsinghe_2019,DEV,8-Apr-25,ML,10,3,Data shared,"Whether the raw data used for analyses presented in the article has been publicly shared. Select ""Yes"" answer if there is any mention of the raw collected data being shared, for example, in supplementary materials or appendices, as downloadable tables or files, via links to external repositories or websites, as full datasets embedded in the article (e.g., detailed data tables in the main text). Raw data refers to the original collected data that underlies the analyses - not just summary statistics, graphs, or processed outputs. Select ""No"" answer if the data is only available upon request, the data is only shared in summarized or aggregated form, there is no clear mention of shared raw data.","yes, no",Agreement: 5/8. Note: try to rewrite the promopt,5,3,0
Samarsinghe_2019,DEV,8-Apr-25,ML,10,4,Data shared,Whether the underlying data characterising primary articles included and/or analyses in the review has been shared in the article or elsewhere.,"yes, no",Agreement: 5/8. Note: try to rewrite the promopt,5,3,0
Samarsinghe_2019,DEV,8-Apr-25,ML,10,5,Data shared,"Code whether the article mentions or includes underlying data used to characterize the primary articles included in the review and/or the data used for analyses presented in the review has been shared, either within the article or elsewhere (e.g., in supplementary materials, appendices, external repositories, or linked files).","yes, no",Agreement: 5/8. Note: REPLACE VARIABLE,5,3,0
Samarsinghe_2019,DEV,8-Apr-25,ML,11,GOLD STANDARD,Review type,Claimed review type (systematic review or meta-analysis),"Predefined list (select one answer): systematic review, meta-analysis","Note: column ""review_type""",,,0
Samarsinghe_2019,DEV,8-Apr-25,ML,11,1,Review type,Claimed review type (systematic review or meta-analysis).,"systematic review, meta-analysis","Agreement: 8/8. Note: two answers selected - in principle correct, but would prefer to have just one",8,0,0
Samarsinghe_2019,DEV,8-Apr-25,ML,11,2,Review type,"Claimed review type (systematic review or meta-analysis). If review claims to contain meta-analysis or meta-regression, select ""meta-analysis"". Select only one answer - if a review appears to be both systematic review and meta-analysis, only select ""meta-analysis"".","systematic review, meta-analysis","Agreement: 8/8. Note: two answers selected - in principle correct, but would prefer to have just one - explicit instructions ignored by Elicit",8,0,0
Samarsinghe_2019,DEV,8-Apr-25,ML,11,3,Review type,"Claimed review type. If review claims to contain a meta-analysis or meta-regression, select ""meta-analysis"". Select only one answer. For example, if a review appears to be both a systematic review and a meta-analysis, only select ""meta-analysis"".","systematic review, meta-analysis","Agreement: 8/8. Note: rephrased the instryuctons, but still cannot limit answers to 1 per paper. FINISHED",8,0,0
Samarsinghe_2019,DEV,8-Apr-25,ML,12,GOLD STANDARD,Registered protocol,"Whether the study has been registered, pre-registered or is based on a pre-defined protocol or study plan.","Predefined list (select one answer): Yes, No","Column: ""qa_question_2_score""",,,0
Samarsinghe_2019,DEV,8-Apr-25,ML,12,1,Registered protocol,"Code whether the study has been registered, pre-registered or is based on a pre-defined protocol or study plan.","yes, no",Agreement: 8/8. Note: FINISHED,8,0,0
Samarsinghe_2019,DEV,8-Apr-25,ML,13,GOLD STANDARD,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",,,,0
Samarsinghe_2019,DEV,8-Apr-25,ML,13,1,Authors contributions,Code whether the study contains a description of the roles and/or contributions of the study authors.,"yes, no",Agreement: 8/8. Note: FINISHED,8,0,0
Samarsinghe_2019,TEST,7-Apr-25,ML,2,GOLD STANDARD,Geographically focused,Whether it is focused on a particular geographic region,"Predefined list (select one answer):
Yes,
No","Note: some  may be scored incorrectly by humans, as review focuses on high income countris, and the other too, as the review is focused on ""temperate climate"" .",,,0
Samarsinghe_2019,TEST,7-Apr-25,ML,2,TEST,Geographically focused,"Whether it is focused on a particular geographic region.This applies to the aims of the review and its inclusion criteria, not to the coverage of actually included and reviewed studies. If aims are to collect evidence globally or do not specify that review is focused on particular geographic regions (country, continent, climatic zone), the answer should be coded as ""no"". If the aims and/or If inclusion criteria state that the only studies from particular geographic area are of interest or eligible to be included, the answers should be coded as ""yes"".","yes, no",Agreement: 8/8,8,0,0
Samarsinghe_2019,TEST,7-Apr-25,ML,3,GOLD STANDARD,Number of included primary studies,Number of original studies reviewed. Code as a total number of studies included in the systematic review or meta-analysis,"Number, Not mentioned",,,,0
Samarsinghe_2019,TEST,7-Apr-25,ML,3,TEST,Number of included primary studies,Number of original studies reviewed. Code as a total number of studies included in the systematic review or meta-analysis,,Agreement: 8/8,8,0,0
Samarsinghe_2019,TEST,7-Apr-25,ML,4,GOLD STANDARD,Synthesis method,How the evidence was combined,"Predefined list (select one answer):
Qualitative, quantitative,
map, qualitative + quantitative",,,,0
Samarsinghe_2019,TEST,7-Apr-25,ML,4,TEST,Synthesis method,"How the evidence was combined. By “evidence” we mean the result of individual primary studies. The approach to summarise  evidence can be quantitative, qualitative or combination of quantitative and qualitative. Maps visually summarise information about studies but not their results.  Select ""qualitative"" answer if no statistical synthesis of results of individual studies has been conducted in the review and only a narrative summary of the results of included studies has been provided. Providing some numbers from primary studies or counting them does not qualify as quantitative analysis. Select ""quantitative"" answer if statistical synthesis of results of individual studies has been conducted in the review (usually a meta-analysis or eta-regression) and  no extensive narrative summary has been provided of the results of included studies. Select ""map"" answer if the scopes of included studies were mainly summarised as in graphs and/or tables, without statistical synthesis of the results of individual studies (usually a review will state it is a map).  Select ""qualitative + quantitative"" answer if both statistical synthesis of results of individual studies has been conducted in the review and a narrative summary of the results of included studies has been.","qualitative, quantitative, K69map, qualitative + quantitative",Agreement: 6/8,6,2,0
Samarsinghe_2019,TEST,7-Apr-25,ML,5,GOLD STANDARD,Search sources,Online databases and other source used in searches,"Names,
No search sources found",Note: Zuo_2013 lists sources in a box,,,0
Samarsinghe_2019,TEST,7-Apr-25,ML,5,TEST,Search sources,"Online databases and other source used in searches. Code as a list of names of sources separated by commas if sources are listed in the review. Ignore sources of grey literature. Code Web of Knowledge as Web of Science (correct alternative name). Code as ""No search sources found"", without additional comments, if the names of search sources cannot be found in the review. ",,Agreement: 7/8,7,1,0
Samarsinghe_2019,TEST,7-Apr-25,ML,6,GOLD STANDARD,PRISMA diagram,"Whether a PRISMA diagram
is presented","Predefined list (select one
answer): Yes, No",,,,0
Samarsinghe_2019,TEST,7-Apr-25,ML,6,TEST,PRISMA diagram,"Whether a PRISMA-like diagram is presented. PRISMA-like diagrams (PRISMA diagrams)  illustrate the process of searching  and screening of literature (usually primary studies, articles, etc.). PRISMA-like diagrams  are also called flow diagrams  of the searching screening process.  Select one answer only: Yes, No.","yes, no",Agreement: 8/8,8,0,0
Samarsinghe_2019,TEST,7-Apr-25,ML,7,GOLD STANDARD,Conflict of interests,Was the conflict of interests disclosed by the authors,"Predefined list (select one
answer): Yes, Not declared specifically","Note: Sanderson 2017 has ""Competing interests""",,,0
Samarsinghe_2019,TEST,7-Apr-25,ML,7,TEST,Conflict of interests,"Was the conflict of interests disclosed by the authors. Predefined list (select one answer): yes, not declared specifically","yes, not declared specifically",Agreement: 5/8,5,3,0
Samarsinghe_2019,TEST,7-Apr-25,ML,9,GOLD STANDARD,Supplementary materials,"Whether the article contains mentions of online supplementary materials (additional details of methods, data, code, etc.). Supplementary materials can be either appended at the end or stored in separate files or accessible online links.","Predefined list (select one
answer): Yes, No",,,,0
Samarsinghe_2019,TEST,7-Apr-25,ML,9,TEST,Supplementary materials,"Whether the article contains mentions of online supplementary materials (additional details of methods, data, code, etc.). Supplementary materials can be either appended at the end or stored in separate files or accessible online links. Supplementary materials are sometimes cal;led Supporting Material or Appendix or Additional File.","Predefined list (select one
answer): yes, no",Agreement: 8/8,8,0,0
Samarsinghe_2019,TEST,7-Apr-25,ML,11,GOLD STANDARD,Review type,Claimed review type (systematic review or meta-analysis),"Predefined list (select one answer): systematic review, meta-analysis",,,,0
Samarsinghe_2019,TEST,7-Apr-25,ML,11,TEST,Review type,"Claimed review type. If review claims to contain a meta-analysis or meta-regression, select ""meta-analysis"". Select only one answer. For example, if a review appears to be both a systematic review and a meta-analysis, only select ""meta-analysis"".","systematic review, meta-analysis",Agreement: 8/8,8,0,0
Samarsinghe_2019,TEST,7-Apr-25,ML,12,GOLD STANDARD,Registered protocol,"Whether the study has been registered, pre-registered or is based on a pre-defined protocol or study plan.","Predefined list (select one answer): Yes, No",,,,0
Samarsinghe_2019,TEST,7-Apr-25,ML,12,TEST,Registered protocol,"Code whether the study has been registered, pre-registered or is based on a pre-defined protocol or study plan.","Predefined list (select one answer): yes, no",Agreement: 8/8,8,0,0
Samarsinghe_2019,TEST,7-Apr-25,ML,13,GOLD STANDARD,Authors contributions,Whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): Yes, No",Note: Fenwick_2013 has in-text contributions ot screenig tasks only.,,,0
Samarsinghe_2019,TEST,7-Apr-25,ML,13,TEST,Authors contributions,Code whether the study contains a description of the roles and/or contributions of the study authors.,"Predefined list (select one answer): yes, no",Agreement: 7/8,7,1,0
Lagisz_2020,DEV,9-Apr-25,ML,1,1,Species scientific name,Scientific name of an animal species used in the experiment,Any answer,Agreement: 8/8. Note: answer format needs tidying up,8,0,0
Lagisz_2020,DEV,9-Apr-25,ML,2,1,Captive or wild-caught,"Source of animals used in the experiment, as reported in the paper:
captive = all used animals were captive, or source not reported; 
wild-caught = all used animals were wild-caught","captive, wild-caught",Agreement: 8/8. Note: FINISHED,8,0,0
Lagisz_2020,DEV,9-Apr-25,ML,3,1,Age,"Age of animals used in the experiment:
juvenile = all used animals were not sexually mature; 
adult = all used animals were sexually mature, mixed age, or age not reported","juvenile, adult",Agreement: 5/8. Note: juvenile adults should e classified as adults.,5,3,0
